Rating,Date,Content
4.50,2022-12-01,"i’m definitely in the minority when it comes to arctic monkeys - i regard tranquility base as their best record, bar none. the debut is great and i don’t think they necessarily have a bad record in their catalogue, but imo their best material has come w/ them shifting away from their mainstream-friendly pop garage past, and into this analogue, textural space lounge vibe. the car, despite it’s simple, earthly title, is even more zero-g than their last album. i catch a strong david bowie influence on the spacey, spotlit chamber pop tunes on this record, both in terms of the sonics and the vividly introspective lyricism from alex. as someone who’s been getting more into bowie lately, it never came off as a direct rip of his style - more like a loving homage from one astronaut to another. i can’t stress enough the textural quality of the car - everything on here just invokes this slightly dusty space-age lounge imagery, like a ballroom straight out of 2001: a space odyssey. it’s soothing, but simultaneously chilling. i feel like alex, and the band as a whole tbh, are coming from a rly unique place w/ this weary performer thing - given the huge commercial and critical success in their past, i’m sure they have much to talk abt in terms of the hollowness of fame. what a great push forward for this band. interstellarly stellar"
2.50,2022-11-30,who gives a shit
5.00,2022-11-30,"Spies and sly trickery are at the heart of Arctic Monkeys’ latest album, The Car, a deeply moved and heavy-set filter for the late 1960s and early 1970s of rock and pop music. An atmosphere and scope to this extent featured on their previous album, Tranquillity Base Hotel and Casino, and there are remnants of that fallout on The Car. An American-influenced album, or rather, an influence of themes that are drawn on from those that broke it big in the United States. Elton John and David Bowie spring to mind in small pockets for those new singles, but it is broadly found in the B-Side excellence throughout The Car.

Fundamentally, though, Arctic Monkeys have changed little between this and Tranquillity Base Hotel and Casino. For those that hated the latter and loved the former, there must be a degree of self-reflection. Whether it is on the Bennie and the Jets piano keys struck like a defibrilator, a shock to the system, on There’d Better Be a Mirrorball or the wailing 1970s pastiche so closely settling in on The Car’s second single, Body Paint, there has to be some reflection on the style Arctic Monkeys now hold. That wah guitar on I Ain’t Quite Where I Think I Am and its stylistic choice, similar to that of Jimi Hendrix, cannot be ignored. This is the perfect blend for those that found Tranquillity Base Hotel and Casino too artsy and Humbug too heavy.

That wah guitar features on Jet Skis On The Moat too, another major overhaul of stylistic change for the band whose work has effectively moved on from the thrashy guitar of Fluorescent Adolescent. Baroque pop strikes through once more. Introspective moments that have lyrical hang-ups as broad as they are interspersed with spy-like themes. Smoky rooms, keypads and a real, stylistic charge comes through. They are solid tracks, but like Body Paint, will take some time to settle in. Those acoustic strokes on the title track are not just emotionally raw but confirm a permanent change in tone for Arctic Monkeys, that same, polarizing effect of Tranquillity Base Hotel and Casino. It is as broad and inconclusive and intense as that piece. Sculptures of Anything Goes offering a moody, slow approach to the battles of history in Turner’s lyrics should be one of many A-Side signs to that. Those that don’t like, as Turner calls it, the “horrible new sound” had best turn the other cheek.

Orchestral beauties feature frequently on The Car, a piece that is as knowingly lonely as it is experimental. Big Ideas crashes through with notes that lament those same, titular plans and the excitement of new forms. Whether those new forms connect and infect Arctic Monkeys fans is beyond Turner, who criticises the “business of show” on Hello You with such an intensity that it becomes personal. Arctic Monkeys have never truly lost the colloquial edge found on their first record, Whatever People Say I Am, That’s What I’m Not. They are still intensely aware of their surroundings and use them as a tool for lyrical and instrumental inspiration, but their area of influence has changed and they have grown. So too has their music. Artistic acceleration is found on The Car, an album that is a head above the rest but arguably not as good as all those classic singles fans still want Turner and company to chase down. If they did that, they’d have grown as little as Courteeners have."
3.00,2022-11-24,"The Arctic Monkeys return after four years of practically silence (besides one single and a live album) with their seventh studio album The Car. The Car in short feels like a much more refined Tranquility Base Hotel + Casino. It has all the characteristics that were shown in that album, all the quirks and qualities but the blandness and nothingness has been trimmed down to make this a much more enjoyable experience to listen to.
I’m sure a lot of people were hoping that Tranquility Base Hotel + Casino was a one off and that the band would go back to making music similar to their early stuff but it seems the band are very eager to keep exploring this baroque sound and I’m all for it. The lead single There’d Better Be a Mirrorball gave us an amazing look at what this album would sound like. It really sounded like the band had figured out what they wanted to do. We then got the second single Body Paint which only further cemented that for me. I was officially excited for this album so when it did finally release (and I know I am very late to the party but isn’t that normal by now) I anticipated something great.

The first half of the album is what I anticipated. Tracks one to five are all really good and have some amazing ideas that are explored that make these songs feel interesting and investing. Tracks like the lead single There’d Better Be a Mirrorball and Sculptures of Anything Goes showcases a real change in sound and an experimentation I haven’t really heard in an Arctic Monkeys record. There’d Better Be a Mirrorball is a stellar baroque pop track and really feels like proper ballroom music. Everything about the track feels refined and acutely produced and works excellently as an opener and tone setter. The following track I Ain’t Quite Where I Think I Am has an amazing funk to it and I absolutely adore the choir-like “ahhh”s in-between verses. Then the aforementioned Sculptures of Anything Goes is an incredibly bassy and slightly unnerving track but once again does an amazing job at keeping your attention and making a song in the style of their previous record interesting and captivating. All of the songs on the first half of the album have something great to say about them as they all have something that sticks out.
It's unfortunate that the second doesn’t follow suite.

Tracks six to ten unfortunately don’t follow the trend of the previous tracks and end up feeling somewhat boring and uninspired, much like their previous album. That’s not to say there isn’t anything good in these songs but they feel like such a downgrade from what we’ve already heard. It all just feels a bit boring. Songs like The Car and Mr Schwartz sound way too similar to each other and tracks like Big Ideas just feel like they don’t really go anywhere; it just sort of meanders along until it finishes.
Then we have the closer Perfect Sense which feels underwhelming and while not unfitting it could have been so much more. I can’t help but feel a lot more could have been done with this song especially in the vocal department especially considering the vocals on the opening track and I Ain’t Quite Where I Think I Am.
With such a strong first half it’s really unfortunate to see it squander in the second. I can see myself returning to the first five songs plenty as I really enjoyed all of them but the other five? I don’t really care for.
The Arctic Monkeys have something really good here underneath more bland baroque pop and I am intrigued to see where they’ll go from this. Hopefully their next release will be the album that shows me that they can make a true ballroom album that doesn’t kill itself midway through."
3.00,2022-11-19,"Transitioning from the gorgeous piano balladry of 'Tranquillity Base Hotel And Casino', the car continues the sound but strips it of vision and consistency. The instrumentation throughout the album which remains gorgeous throughout its best moments, from the twinkling pianos of 'There Better Be A Mirrorball' to the shimmering and unhalted guitars which ring out throughout body paint and add a jazz-like flavour to tracks such as 'Jet Skis On The Moat'. Furthermore, efforts such as 'Body Paint show that Alex can still write a good hook and offer vocals that benefit a heavier rock mix. However, I cannot say this for the rest of the album. The instrumentation seems to be hit or miss, with 'sculptures of anything goes' one directional sound lacking any memorability. For the most part this isn't really an issue as outside of moments like this it stays interesting and well mixed for most of the album's duration. The main issue is Alex's vocals which just don't hold up to the standards needed for lounge music. This becomes incredibly evident in songs such as 'There better be a Mirrorball', 'I ain't quite where i think i am' and 'Body paint' where his vocals sound out of place and uncomfortable by the end of the track - struggling to coexist with the instrumentation in the mix.

Altogether, whilst the car is a somewhat satisfactory successor to Tranquillity Base, it is a mixed bag of tracks that lacks the depth and vision of their previous album."
4.00,2022-11-19,"Thank God for Alex Turner. He's of the same age group as me and he's heading a last gasp rock band who are actually doing creative things with the form and challenging themselves (and their listeners). I've grown out of a lot of millennial indie, even if it was seminal for me when I was growing up. But the Monkeys keep on giving.

I'm one of those (are there many?) that thought Tranquility Base was a masterpiece and their best album. I'm thrilled that they didn't rush back towards rockin and rollin after the generally negative and/or confused reaction to it. The Car is another interesting and provocative album full of intricate arrangements and Turner's unique gifts as a lyricist and storyteller. It's another classic grower not a shower. It's also mature and somehow earthy and real and feels like your mid 30s.

I'm a fan of this band and their catalog of constantly shifting sands."
3.00,2022-11-19,"My only experience with Arctic Monkeys is their debut, a great garage rock album, with this album, the band has left those roots and dabbled further in baroque-chamber pop soundscapes, Alex Turner's voice is mixed so that he sounds like a foot away from you, perhaps singing in a room of some kind, I think that's a little neat, the instrumentals are lush, with some grand string arrangements, all of this should lead to a positive review, but I just find the songs do not differ as much as I wished they would and Alex's voice on here doesn't really leave the comfort zone of ''close-to-listener-introspection'' tone, it is not horrible by any means, but not good either."
4.00,2022-11-17,"Ustedes no tienen idea de la cantidad de veces que escucho Mirrorball al día. En mi top de Arctic Monkeys, The Car probablemente se ubica así:

- Tranquility Base hotel and Casino
- Watever people say I am, That's why I'm not
- THE CAR
- Hambug
- AM
- Favourite worst nightmare
-
-
- Suck it and See"
2.00,2022-11-16,"The Car feels more like an assortment of demos or left overs from TBH&C with no real understanding of what it wants to or is trying to be more than anything else. The production is good and has a consistent sound pallet throughout but that just doesn't save this album for me personally.

There's no dynamics in the track list, nothing that switches it up and gives some variety, even to the point where during my listens certain tracks felt like they were blending together (There'd Better Be a Mirrorball and Body Paint come to mind"")

This album isn't bad by any means and in isolation, I quite enjoy some of these, however when in context of the album, it just falls incredibly flat.

Fav track(s): Body Paint, I Ain't Quite Where I Think I Am,

Meh track(s): The Car, There'd Better Be a Mirrorball, Mr Schwartz, Jet Skis On The Moat

Worst Track(s): Sculpture of Anything Goes"
3.00,2022-11-14,"Much of The Car feels like a farewell to the ""old"" Arctic Monkeys. No longer cheeky and boisterous, the band are more sincere, introspective, and mature. They're aware of moving on, and aware of how moving on might ostracize some of their fanbase.

If you can forget that Alex Turner is the vocalist, this really sounds like a brand new band. The vocals are intimate and close, like Turner is in your room singing to you. Matt Helders' restrained drumming is unrecognizable compared with his busy, fill-heavy drumming on Arctic Monkeys' earlier albums. The album is driven by strings and piano rather than rhythm and guitar, but the string arrangements are beautiful rather than sappy, with obvious film-score influences.

Turner is aware that The Car (and Tranquility Base) represents a departure from the sound that defined Arctic Monkeys and made them famous. ""I Ain't Quite Where I Think I Am"" sounds like an acknowledgment that the band are in new musical territory where they're not quite sure if they belong. On ""Sculptures Of Anything Goes"", Turner sings about ""blank canvases"", hinting at the band's deliberate experimentation with expanding the scope of their music. On ""Body Paint"", Turner says he'll use his costume (effectively a new persona) as a writing tool, again suggesting a conscious shift towards a new sound. It's easy to hear tracks like ""There'd Better Be A Mirrorball"" and ""Perfect Sense"" as ballads about lost loves, but in the broader context of Arctic Monkeys' new sound, they really sound like ballads about lost youth and lost selves—a band purposefully shedding its skin.

Arctic Monkeys are on the verge of something great with The Car, but they don't quite get there. The music is at times difficult, strange, and wandering, and the vocal melodies in particular can be tough to follow. Nothing here really grabs me, but I think if they can find a way to marry this new sound with some of their old sound, they could produce something amazing.

Favorite tracks:
Body Paint
Perfect Sense
There'd Better Be A Mirrorball
Sculpture of Anything Goes"
